; "SupportedThreads",64,"UsedThreads",64,"TotalMemory",135065362432,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1546523495,"CurrentTimeLocal","Thu Jan  3 05:51:35 2019","Hostname","nid01078","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 9.9e-05
; "Time_ContextDestroy [ms]", 3.4e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",8192,0,0,0,0,"Warmup",0.000275,0.081094,0.12271,0.00588,0.023207,0.020536,0.003464,0.020751,0.27817,65552,0,65536,2.7757269837e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",8192,0,0,1,0,"Warmup",0.000263,0.081639,0.107895,0.00574,0.021078,0.018183,0.003157,0.018751,0.256954,65552,0,65536,2.7757269837e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",8192,0,0,2,0,"Success",0.00027,0.059466,0.10792,0.005768,0.021296,0.01828,0.003196,0.018649,0.235098,65552,0,65536,2.7757269837e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",8192,0,0,3,0,"Success",0.000255,0.059255,0.10788,0.005583,0.021035,0.018446,0.003116,0.018541,0.234379,65552,0,65536,2.7757269837e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",8192,0,0,4,0,"Success",0.000269,0.05914,0.107619,0.005592,0.021035,0.018567,0.003119,0.018422,0.234002,65552,0,65536,2.7757269837e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",8192,0,0,5,0,"Success",0.000246,0.059245,0.107595,0.005601,0.021001,0.018424,0.003108,0.018578,0.234045,65552,0,65536,2.7757269837e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",8192,0,0,6,0,"Success",0.000253,0.059367,0.107483,0.005627,0.020968,0.018432,0.003085,0.018525,0.234026,65552,0,65536,2.7757269837e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",8192,0,0,7,0,"Success",0.000271,0.059443,0.10776,0.005587,0.021027,0.018487,0.003099,0.018605,0.234555,65552,0,65536,2.7757269837e-17,0
