; "SupportedThreads",64,"UsedThreads",64,"TotalMemory",135065362432,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1546522882,"CurrentTimeLocal","Thu Jan  3 05:41:22 2019","Hostname","nid01430","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 7.7e-05
; "Time_ContextDestroy [ms]", 5.8e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",524288,0,0,0,0,"Warmup",0.005885,1.221056,1.134445,3.447245,0.50044,0.474537,0.396833,1.444728,8.625774,4194320,0,4194304,2.7755602085e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",524288,0,0,1,0,"Warmup",0.006772,1.173215,1.138784,3.401209,0.49198,0.434289,0.396293,1.446793,8.490138,4194320,0,4194304,2.7755602085e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",524288,0,0,2,0,"Success",0.006931,1.196327,1.162703,3.387201,0.499988,0.425697,0.396939,1.408008,8.484479,4194320,0,4194304,2.7755602085e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",524288,0,0,3,0,"Success",0.006731,1.225111,1.138588,3.389083,0.487436,0.430714,0.395084,1.429285,8.503174,4194320,0,4194304,2.7755602085e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",524288,0,0,4,0,"Success",0.007088,1.180011,1.116942,3.408992,0.488097,0.432884,0.396543,1.40645,8.437911,4194320,0,4194304,2.7755602085e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",524288,0,0,5,0,"Success",0.00656,1.216725,1.173732,3.394338,0.49994,0.429522,0.396944,1.425393,8.544069,4194320,0,4194304,2.7755602085e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",524288,0,0,6,0,"Success",0.007059,1.224411,1.146023,3.374148,0.528212,0.438068,0.396095,1.431898,8.546631,4194320,0,4194304,2.7755602085e-17,0
