; "SupportedThreads",64,"UsedThreads",64,"TotalMemory",135065362432,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1546523499,"CurrentTimeLocal","Thu Jan  3 05:51:39 2019","Hostname","nid01078","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 8.2e-05
; "Time_ContextDestroy [ms]", 5.8e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",524288,0,0,0,0,"Warmup",0.006159,1.18506,1.158962,3.136498,0.489165,0.430547,0.397748,1.374711,8.179875,4194320,0,4194304,2.7755602085e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",524288,0,0,1,0,"Warmup",0.006811,1.200429,1.130602,3.159814,0.484793,0.433553,0.396479,1.370787,8.184011,4194320,0,4194304,2.7755602085e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",524288,0,0,2,0,"Success",0.006813,1.180674,1.12917,3.128888,0.490463,0.426585,0.407385,1.374891,8.145625,4194320,0,4194304,2.7755602085e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",524288,0,0,3,0,"Success",0.006947,1.188718,1.147493,3.116533,0.493064,0.424162,0.396937,1.361194,8.135953,4194320,0,4194304,2.7755602085e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",524288,0,0,4,0,"Success",0.006534,1.185722,1.130499,3.146006,0.493329,0.42314,0.397876,1.37494,8.158761,4194320,0,4194304,2.7755602085e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",524288,0,0,5,0,"Success",0.007074,1.161602,1.144439,3.14987,0.485305,0.429174,0.404304,1.382389,8.165019,4194320,0,4194304,2.7755602085e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",524288,0,0,6,0,"Success",0.006702,1.190386,1.137876,3.122057,0.493404,0.421346,0.420066,1.374359,8.166937,4194320,0,4194304,2.7755602085e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",524288,0,0,7,0,"Success",0.006822,1.178512,1.141677,3.13369,0.481889,0.43282,0.396634,1.362824,8.135677,4194320,0,4194304,2.7755602085e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",524288,0,0,8,0,"Success",0.006556,1.201816,1.146102,3.134977,0.487443,0.429795,0.397456,1.361545,8.166592,4194320,0,4194304,2.7755602085e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",524288,0,0,9,0,"Success",0.006857,1.177912,1.145776,3.145172,0.492709,0.452265,0.398254,1.382378,8.202462,4194320,0,4194304,2.7755602085e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",524288,0,0,10,0,"Success",0.006908,1.172109,1.178396,3.130255,0.491851,0.446148,0.408322,1.379783,8.214483,4194320,0,4194304,2.7755602085e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",524288,0,0,11,0,"Success",0.006374,1.207735,1.151024,3.139552,0.501755,0.429573,0.407753,1.368301,8.212982,4194320,0,4194304,2.7755602085e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",1,"powerof2",524288,0,0,0,0,"Warmup",0.010977,1.195285,1.123954,3.178424,0.752336,0.363401,0.42241,1.82369,8.871596,8388624,0,4194304,2.7755602085e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",1,"powerof2",524288,0,0,1,0,"Warmup",0.012534,1.188141,1.150993,3.163016,0.756193,0.360184,0.402672,1.822153,8.856803,8388624,0,4194304,2.7755602085e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",1,"powerof2",524288,0,0,2,0,"Success",0.012565,1.189092,1.143659,3.146124,0.760232,0.36002,0.402362,1.845539,8.860371,8388624,0,4194304,2.7755602085e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",1,"powerof2",524288,0,0,3,0,"Success",0.012318,1.166977,1.17135,3.155864,0.80925,0.355019,0.402098,1.837518,8.911184,8388624,0,4194304,2.7755602085e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",1,"powerof2",524288,0,0,4,0,"Success",0.01227,1.155385,1.139767,3.165826,0.788524,0.360464,0.405562,1.856614,8.885259,8388624,0,4194304,2.7755602085e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",1,"powerof2",524288,0,0,5,0,"Success",0.012373,1.174321,1.138848,3.152428,0.762445,0.384449,0.406326,1.836818,8.868959,8388624,0,4194304,2.7755602085e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",1,"powerof2",524288,0,0,6,0,"Success",0.012155,1.188893,1.132512,3.158082,0.768668,0.360927,0.407353,1.834705,8.864186,8388624,0,4194304,2.7755602085e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",1,"powerof2",524288,0,0,7,0,"Success",0.012417,1.201382,1.138388,3.160118,0.769535,0.377777,0.406858,1.857788,8.925315,8388624,0,4194304,2.7755602085e-17,0
