; "SupportedThreads",64,"UsedThreads",64,"TotalMemory",135065362432,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1546522878,"CurrentTimeLocal","Thu Jan  3 05:41:18 2019","Hostname","nid01430","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 7.1e-05
; "Time_ContextDestroy [ms]", 3.3e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",8192,0,0,0,0,"Warmup",0.000264,0.059611,0.107795,0.005686,0.021495,0.018997,0.003295,0.018673,0.236111,65552,0,65536,2.7757269837e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",8192,0,0,1,0,"Warmup",0.00029,0.059713,0.107944,0.005717,0.021398,0.018551,0.003238,0.01897,0.236099,65552,0,65536,2.7757269837e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",8192,0,0,2,0,"Success",0.000296,0.059608,0.107993,0.00572,0.021283,0.040609,0.003707,0.020284,0.259771,65552,0,65536,2.7757269837e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",8192,0,0,3,0,"Success",0.000316,0.065318,0.139238,0.005678,0.021463,0.019088,0.003232,0.018969,0.273597,65552,0,65536,2.7757269837e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",8192,0,0,4,0,"Success",0.000287,0.059616,0.1078,0.005763,0.021455,0.01892,0.003267,0.018593,0.23596,65552,0,65536,2.7757269837e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",8192,0,0,5,0,"Success",0.000266,0.059513,0.107731,0.005719,0.021385,0.01865,0.003272,0.018883,0.23572,65552,0,65536,2.7757269837e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",8192,0,0,6,0,"Success",0.000299,0.059663,0.107934,0.005737,0.02168,0.018901,0.003267,0.018637,0.236407,65552,0,65536,2.7757269837e-17,0
