; "SupportedThreads",64,"UsedThreads",64,"TotalMemory",135065362432,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1546524632,"CurrentTimeLocal","Thu Jan  3 06:10:32 2019","Hostname","nid01078","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 7.2e-05
; "Time_ContextDestroy [ms]", 2.8e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",268435456,0,0,0,0,"Warmup",0.007083,336.526209,336.856573,1563.734735,732.122883,8192.88032,251.115487,433.388776,11846.633662,2147483664,0,2147483648,2.7755575667e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",268435456,0,0,1,0,"Warmup",0.007616,335.734686,336.575869,1561.021632,733.215994,8143.500485,251.561784,433.982776,11795.602344,2147483664,0,2147483648,2.7755575667e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",268435456,0,0,2,0,"Success",0.007372,336.476584,336.463048,1565.107848,732.17893,8142.272412,254.581986,433.035991,11800.125809,2147483664,0,2147483648,2.7755575667e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",268435456,0,0,3,0,"Success",0.007295,337.125261,336.352713,1561.292315,732.274135,8267.797339,251.535912,432.948934,11919.335747,2147483664,0,2147483648,2.7755575667e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",268435456,0,0,4,0,"Success",0.006801,336.318385,336.053351,1563.596994,734.475716,8165.134397,252.037669,433.247012,11820.871997,2147483664,0,2147483648,2.7755575667e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",268435456,0,0,5,0,"Success",0.006635,336.443378,335.926568,1562.932278,731.75162,8212.2933,252.921316,433.339788,11865.616543,2147483664,0,2147483648,2.7755575667e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",268435456,0,0,6,0,"Success",0.006782,336.747412,335.951151,1561.742669,734.006507,8211.13646,251.408714,433.675432,11864.676683,2147483664,0,2147483648,2.7755575667e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",268435456,0,0,7,0,"Success",0.00708,336.078152,335.984319,1563.847194,736.075466,8218.565991,253.918146,433.257879,11877.735677,2147483664,0,2147483648,2.7755575667e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",268435456,0,0,8,0,"Success",0.006997,336.02559,336.208456,1559.742208,733.025574,8239.531823,252.522219,432.502401,11889.567024,2147483664,0,2147483648,2.7755575667e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",268435456,0,0,9,0,"Success",0.006943,336.381684,336.028547,1563.366321,735.4072,8233.555648,251.883224,432.72383,11889.35508,2147483664,0,2147483648,2.7755575667e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",268435456,0,0,10,0,"Success",0.006892,336.325402,336.969877,1561.739429,731.630948,8200.106108,250.231059,432.488369,11849.499577,2147483664,0,2147483648,2.7755575667e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",268435456,0,0,11,0,"Success",0.007325,335.999298,336.353883,1560.468656,735.153176,8213.844459,249.67411,433.939331,11865.441972,2147483664,0,2147483648,2.7755575667e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",1,"powerof2",268435456,0,0,0,0,"Warmup",0.013531,332.710613,332.294844,1579.957087,7590.43116,8309.789483,249.261957,604.131403,18998.591783,4294967312,0,2147483648,2.7755575667e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",1,"powerof2",268435456,0,0,1,0,"Warmup",0.013149,332.867913,332.624365,1582.658401,7615.287528,8302.561238,248.139369,603.525339,19017.678885,4294967312,0,2147483648,2.7755575667e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",1,"powerof2",268435456,0,0,2,0,"Success",0.013439,332.706255,332.555713,1581.017051,7630.286962,8330.121128,249.552573,601.978626,19058.233567,4294967312,0,2147483648,2.7755575667e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",1,"powerof2",268435456,0,0,3,0,"Success",0.013577,332.466165,332.494523,1577.540982,7629.13871,8268.127162,251.359527,602.653011,18993.795375,4294967312,0,2147483648,2.7755575667e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",1,"powerof2",268435456,0,0,4,0,"Success",0.013412,332.527963,332.364752,1581.705436,7635.854695,8277.581207,249.030425,601.882916,19010.96254,4294967312,0,2147483648,2.7755575667e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",1,"powerof2",268435456,0,0,5,0,"Success",0.013657,332.663989,332.434991,1580.378129,7621.690618,8279.637956,251.314726,605.303802,19003.439592,4294967312,0,2147483648,2.7755575667e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",1,"powerof2",268435456,0,0,6,0,"Success",0.013578,332.20351,332.447631,1577.955443,7612.586151,8287.011136,248.525165,600.765004,18991.50919,4294967312,0,2147483648,2.7755575667e-17,0
