; "SupportedThreads",64,"UsedThreads",64,"TotalMemory",135065362432,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1546523497,"CurrentTimeLocal","Thu Jan  3 05:51:37 2019","Hostname","nid01078","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 8e-05
; "Time_ContextDestroy [ms]", 6.6e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",262144,0,0,0,0,"Warmup",0.004988,0.59547,0.556494,1.14952,0.228963,0.168034,0.249384,0.525791,3.479167,2097168,0,2097152,2.7755628555e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",262144,0,0,1,0,"Warmup",0.005862,0.633627,0.555477,1.170013,0.264901,0.168944,0.247292,0.512587,3.559201,2097168,0,2097152,2.7755628555e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",262144,0,0,2,0,"Success",0.004971,0.625328,0.539515,1.154134,0.266304,0.168777,0.249462,0.53192,3.540921,2097168,0,2097152,2.7755628555e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",262144,0,0,3,0,"Success",0.004913,0.58946,0.53993,1.145361,0.264872,0.168702,0.248697,0.522102,3.484627,2097168,0,2097152,2.7755628555e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",262144,0,0,4,0,"Success",0.00533,0.650096,0.557953,1.2391,0.2781,0.167894,0.276055,0.565997,3.741121,2097168,0,2097152,2.7755628555e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",262144,0,0,5,0,"Success",0.004995,0.609461,0.563254,1.249885,0.277154,0.180282,0.26271,0.579799,3.728101,2097168,0,2097152,2.7755628555e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",262144,0,0,6,0,"Success",0.004989,0.59075,0.553744,1.254949,0.278932,0.167383,0.264384,0.618817,3.734403,2097168,0,2097152,2.7755628555e-17,0
