; "SupportedThreads",64,"UsedThreads",64,"TotalMemory",135065362432,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1546518915,"CurrentTimeLocal","Thu Jan  3 04:35:15 2019","Hostname","nid00693","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 7.6e-05
; "Time_ContextDestroy [ms]", 4e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",262144,0,0,0,0,"Warmup",0.005634,0.620818,0.534538,1.285133,0.300481,0.198632,0.242052,0.543349,3.731255,2097168,0,2097152,2.7755628555e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",262144,0,0,1,0,"Warmup",0.005642,0.630492,0.544767,1.283241,0.293289,0.200146,0.242172,0.547103,3.747343,2097168,0,2097152,2.7755628555e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",262144,0,0,2,0,"Success",0.005702,0.633257,0.537877,1.282028,0.30044,0.197643,0.242606,0.548948,3.748888,2097168,0,2097152,2.7755628555e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",262144,0,0,3,0,"Success",0.005596,0.61262,0.547542,1.272945,0.309572,0.196654,0.241566,0.544928,3.73192,2097168,0,2097152,2.7755628555e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",262144,0,0,4,0,"Success",0.005599,0.643702,0.537232,1.278961,0.297745,0.197683,0.243337,0.541378,3.746212,2097168,0,2097152,2.7755628555e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",262144,0,0,5,0,"Success",0.005625,0.632358,0.557724,1.286492,0.299924,0.196325,0.242881,0.564205,3.786022,2097168,0,2097152,2.7755628555e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",262144,0,0,6,0,"Success",0.005703,0.617228,0.542542,1.31145,0.288368,0.197378,0.242401,0.544354,3.749996,2097168,0,2097152,2.7755628555e-17,0
