; "SupportedThreads",64,"UsedThreads",64,"TotalMemory",135065378816,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1544803191,"CurrentTimeLocal","Fri Dec 14 07:59:51 2018","Hostname","nid01757","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 6.4e-05
; "Time_ContextDestroy [ms]", 0.000208
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",65535,0,0,11,1,"Success",0.000266,0.070844,0.065561,0.054912,0.222644,0.227439,0.058308,0.006736,0.707048,524280,0,524280,1.2932565318e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",131071,0,0,0,2,"Warmup",0.003615,12.046341,11.469283,0.70837,2.85625,2.936609,0.081124,1.109932,31.212079,1048568,0,1048568,1.4010855829e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",131071,0,0,1,2,"Warmup",0.003837,12.110864,10.904467,0.477898,2.818667,2.83234,0.079731,1.043545,30.271906,1048568,0,1048568,1.4010855829e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",131071,0,0,2,2,"Success",0.003485,11.934898,10.806181,0.563802,2.778533,2.827545,0.078536,1.046454,30.039986,1048568,0,1048568,1.4010855829e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",131071,0,0,3,2,"Success",0.003519,11.956409,10.804294,0.534763,2.768665,2.833176,0.078444,1.033218,30.013007,1048568,0,1048568,1.4010855829e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",131071,0,0,4,2,"Success",0.003493,13.085017,10.944509,0.532239,2.807942,2.868343,0.078418,1.041306,31.361823,1048568,0,1048568,1.4010855829e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",131071,0,0,5,2,"Success",0.003532,11.983344,10.836997,0.473585,2.760755,2.824554,0.078451,1.051283,30.013038,1048568,0,1048568,1.4010855829e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",131071,0,0,6,2,"Success",0.003741,11.948673,10.811323,0.53002,2.755693,2.834339,0.078562,1.045395,30.00839,1048568,0,1048568,1.4010855829e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",131071,0,0,7,2,"Success",0.003477,12.041841,11.664577,0.54404,2.826348,2.864213,0.078266,1.038948,31.062304,1048568,0,1048568,1.4010855829e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",131071,0,0,8,2,"Success",0.003519,12.058798,10.883349,0.496114,2.768634,2.84205,0.078249,1.061136,30.192382,1048568,0,1048568,1.4010855829e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",131071,0,0,9,2,"Success",0.003459,12.06942,10.88421,0.474077,2.800508,2.872264,0.078573,1.028806,30.211842,1048568,0,1048568,1.4010855829e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",131071,0,0,10,2,"Success",0.003494,12.100443,10.962296,0.558208,3.238746,2.955382,0.080039,1.11245,31.011643,1048568,0,1048568,1.4010855829e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",131071,0,0,11,2,"Success",0.003636,12.433093,10.89762,0.481718,2.777233,2.82654,0.078388,1.04682,30.545556,1048568,0,1048568,1.4010855829e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",127,129,0,0,0,"Warmup",0.000326,0.026485,0.022813,0.013089,0.080709,0.08346,0.012864,0.008795,0.248825,131064,0,131064,1.204769732e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",127,129,0,1,0,"Warmup",0.000339,0.026162,0.022523,0.013241,0.080791,0.084367,0.013162,0.008659,0.249556,131064,0,131064,1.204769732e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",127,129,0,2,0,"Success",0.00034,0.026333,0.022546,0.013433,0.083002,0.082484,0.012444,0.008347,0.249215,131064,0,131064,1.204769732e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",127,129,0,3,0,"Success",0.00032,0.026262,0.021478,0.013155,0.081803,0.083933,0.012791,0.009321,0.249337,131064,0,131064,1.204769732e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",127,129,0,4,0,"Success",0.000325,0.026345,0.02278,0.013112,0.080307,0.085205,0.029522,0.009382,0.267241,131064,0,131064,1.204769732e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",127,129,0,5,0,"Success",0.000324,0.026983,0.023023,0.013311,0.083384,0.09088,0.013272,0.008548,0.260006,131064,0,131064,1.204769732e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",127,129,0,6,0,"Success",0.000342,0.025604,0.022551,0.013404,0.079884,0.083448,0.012526,0.00817,0.246209,131064,0,131064,1.204769732e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",127,129,0,7,0,"Success",0.000368,0.025908,0.022496,0.013062,0.081277,0.082919,0.012313,0.009152,0.24778,131064,0,131064,1.204769732e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",127,129,0,8,0,"Success",0.000318,0.026045,0.021813,0.013071,0.082628,0.082508,0.012379,0.009138,0.248171,131064,0,131064,1.204769732e-07,0
