; "SupportedThreads",64,"UsedThreads",64,"TotalMemory",135065206784,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1537232419,"CurrentTimeLocal","Mon Sep 17 18:00:19 2018","Hostname","nid01799","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 5.7e-05
; "Time_ContextDestroy [ms]", 2.5e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,2,70,"Success",0.005318,49.960805,49.306816,0.00468,0.340826,0.161089,0.018923,0.391707,100.190642,54872,0,54872,5.7146074527e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,3,70,"Success",0.00537,49.165224,49.271549,0.005949,0.352903,0.173848,0.007444,0.407482,99.390275,54872,0,54872,5.7146074527e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,4,70,"Success",0.005357,49.790323,50.607163,0.004713,0.311062,0.16447,0.006907,0.397651,101.288179,54872,0,54872,5.7146074527e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,5,70,"Success",0.005447,49.813097,49.274894,0.004531,0.321281,0.168284,0.008238,1.980814,101.577183,54872,0,54872,5.7146074527e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,6,70,"Success",0.00372,48.804856,49.368243,0.005428,4.265149,0.186037,0.007876,0.394214,103.036013,54872,0,54872,5.7146074527e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,7,70,"Success",0.005388,49.165909,50.8023,0.005497,0.324954,0.168134,0.007953,0.395822,100.876538,54872,0,54872,5.7146074527e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,8,70,"Success",0.005359,49.884701,49.447246,0.004775,0.417699,0.161859,0.008278,0.385521,100.315978,54872,0,54872,5.7146074527e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,9,70,"Success",0.005303,49.196544,49.284803,0.004864,0.322559,0.165732,0.007861,0.402161,99.390366,54872,0,54872,5.7146074527e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,10,70,"Success",0.006229,49.4502,50.544766,0.00484,0.331823,0.162137,0.00768,0.394616,100.902834,54872,0,54872,5.7146074527e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,11,70,"Success",0.005433,49.188305,49.446103,0.004757,0.340753,0.164709,0.008009,0.413601,99.572126,54872,0,54872,5.7146074527e-08,0
