; "SupportedThreads",64,"UsedThreads",64,"TotalMemory",135065378816,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1544799720,"CurrentTimeLocal","Fri Dec 14 07:02:00 2018","Hostname","nid01258","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 6.2e-05
; "Time_ContextDestroy [ms]", 8.8e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",32767,0,0,0,0,"Warmup",0.000308,0.050549,0.045974,0.027794,0.155071,0.157016,0.028828,0.006187,0.472026,262136,0,262136,1.0910973682e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",32767,0,0,1,0,"Warmup",0.000353,0.050553,0.046164,0.02798,0.155742,0.15959,0.028869,0.006128,0.475697,262136,0,262136,1.0910973682e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",32767,0,0,2,0,"Success",0.000353,0.050483,0.046247,0.027929,0.15626,0.157909,0.028751,0.005884,0.474125,262136,0,262136,1.0910973682e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",32767,0,0,3,0,"Success",0.000343,0.050672,0.046146,0.0281,0.162717,0.158196,0.029,0.006204,0.481687,262136,0,262136,1.0910973682e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",32767,0,0,4,0,"Success",0.00033,0.051038,0.046498,0.028041,0.155742,0.158255,0.028829,0.006174,0.47521,262136,0,262136,1.0910973682e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",32767,0,0,5,0,"Success",0.000377,0.050588,0.046075,0.028123,0.15526,0.1568,0.028731,0.006128,0.472368,262136,0,262136,1.0910973682e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",32767,0,0,6,0,"Success",0.000324,0.050648,0.046116,0.027985,0.155166,0.157738,0.0287,0.006116,0.473085,262136,0,262136,1.0910973682e-07,0
