; "SupportedThreads",64,"UsedThreads",64,"TotalMemory",135065374720,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1545072972,"CurrentTimeLocal","Mon Dec 17 10:56:12 2018","Hostname","nid01775","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 6.4e-05
; "Time_ContextDestroy [ms]", 4e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_mkl_gnuwrapper","Outplace","Complex","float",1,"powerof2",131072,0,0,0,0,"Warmup",0.011237,0.14488,0.146112,0.701437,5.621243,3.106348,0.101109,0.463529,10.296442,2097152,0,1048576,2.4660365736e-08,0
"Fftw_mkl_gnuwrapper","Outplace","Complex","float",1,"powerof2",131072,0,0,1,0,"Warmup",0.011409,0.151115,0.156141,0.750959,5.377084,3.242169,0.10164,0.474715,10.265925,2097152,0,1048576,2.4660365736e-08,0
"Fftw_mkl_gnuwrapper","Outplace","Complex","float",1,"powerof2",131072,0,0,2,0,"Success",0.011756,0.144685,0.145432,0.758364,5.395483,3.140915,0.103339,0.465142,10.16569,2097152,0,1048576,2.4660365736e-08,0
"Fftw_mkl_gnuwrapper","Outplace","Complex","float",1,"powerof2",131072,0,0,3,0,"Success",0.010887,0.137166,0.138669,0.731861,5.53103,3.176842,0.096706,0.472753,10.296485,2097152,0,1048576,2.4660365736e-08,0
"Fftw_mkl_gnuwrapper","Outplace","Complex","float",1,"powerof2",131072,0,0,4,0,"Success",0.011046,0.136952,0.141877,0.739439,5.447242,3.155716,0.097238,0.460934,10.190975,2097152,0,1048576,2.4660365736e-08,0
"Fftw_mkl_gnuwrapper","Outplace","Complex","float",1,"powerof2",131072,0,0,5,0,"Success",0.010916,0.136911,0.138556,0.730049,5.378261,3.196286,0.096755,0.471292,10.159613,2097152,0,1048576,2.4660365736e-08,0
"Fftw_mkl_gnuwrapper","Outplace","Complex","float",1,"powerof2",131072,0,0,6,0,"Success",0.01108,0.136862,0.144637,0.74276,5.500038,3.252547,0.09679,0.452528,10.337878,2097152,0,1048576,2.4660365736e-08,0
"Fftw_mkl_gnuwrapper","Outplace","Complex","float",1,"powerof2",131072,0,0,7,0,"Success",0.011174,0.136965,0.137362,0.730789,5.738536,3.222764,0.097158,0.464552,10.539978,2097152,0,1048576,2.4660365736e-08,0
"Fftw_mkl_gnuwrapper","Outplace","Complex","float",1,"powerof2",131072,0,0,8,0,"Success",0.011028,0.136731,0.145478,0.740972,5.662113,3.125379,0.096639,0.469034,10.387995,2097152,0,1048576,2.4660365736e-08,0
"Fftw_mkl_gnuwrapper","Outplace","Complex","float",1,"powerof2",131072,0,0,9,0,"Success",0.01093,0.137592,0.13901,0.732109,5.402174,3.141622,0.096789,0.449711,10.110526,2097152,0,1048576,2.4660365736e-08,0
"Fftw_mkl_gnuwrapper","Outplace","Complex","float",1,"powerof2",131072,0,0,10,0,"Success",0.011039,0.136759,0.137706,0.735549,5.53345,3.281455,0.096715,0.458275,10.391512,2097152,0,1048576,2.4660365736e-08,0
"Fftw_mkl_gnuwrapper","Outplace","Complex","float",1,"powerof2",131072,0,0,11,0,"Success",0.011043,0.138045,0.141727,0.729552,5.563268,3.112494,0.097573,0.456594,10.250879,2097152,0,1048576,2.4660365736e-08,0
"Fftw_mkl_gnuwrapper","Outplace","Real","float",1,"powerof2",131072,0,0,0,0,"Warmup",0.010578,0.25633,0.233587,0.330328,0.163801,0.068489,0.056021,0.213977,1.333932,1048584,0,524288,0,0
"Fftw_mkl_gnuwrapper","Outplace","Real","float",1,"powerof2",131072,0,0,1,0,"Warmup",0.010396,0.256604,0.229391,0.32768,0.15769,0.070331,0.057637,0.200463,1.310862,1048584,0,524288,0,0
"Fftw_mkl_gnuwrapper","Outplace","Real","float",1,"powerof2",131072,0,0,2,0,"Success",0.01042,0.279251,0.229401,0.33743,0.151488,0.071613,0.057242,0.203347,1.340804,1048584,0,524288,0,0
"Fftw_mkl_gnuwrapper","Outplace","Real","float",1,"powerof2",131072,0,0,3,0,"Success",0.010395,0.254833,0.233459,0.328615,0.151493,0.071058,0.057593,0.209781,1.317903,1048584,0,524288,0,0
"Fftw_mkl_gnuwrapper","Outplace","Real","float",1,"powerof2",131072,0,0,4,0,"Success",0.010381,0.240882,0.233489,0.329542,0.164819,0.072117,0.056932,0.210822,1.319599,1048584,0,524288,0,0
"Fftw_mkl_gnuwrapper","Outplace","Real","float",1,"powerof2",131072,0,0,5,0,"Success",0.01036,0.252781,0.256104,0.328524,0.157119,0.071031,0.056934,0.212685,1.346117,1048584,0,524288,0,0
"Fftw_mkl_gnuwrapper","Outplace","Real","float",1,"powerof2",131072,0,0,6,0,"Success",0.010249,0.248509,0.228202,0.329479,0.136177,0.069339,0.056737,0.20815,1.287446,1048584,0,524288,0,0
"Fftw_mkl_gnuwrapper","Outplace","Real","float",1,"powerof2",131072,0,0,7,0,"Success",0.010212,0.267621,0.220385,0.342288,0.173289,0.071645,0.056902,0.219155,1.36221,1048584,0,524288,0,0
"Fftw_mkl_gnuwrapper","Outplace","Real","float",1,"powerof2",131072,0,0,8,0,"Success",0.010367,0.265404,0.234193,0.328183,0.157086,0.071031,0.056709,0.207165,1.330994,1048584,0,524288,0,0
"Fftw_mkl_gnuwrapper","Outplace","Real","float",1,"powerof2",131072,0,0,9,0,"Success",0.010557,0.269231,0.235317,0.327796,0.160347,0.072384,0.056904,0.209973,1.343181,1048584,0,524288,0,0
"Fftw_mkl_gnuwrapper","Outplace","Real","float",1,"powerof2",131072,0,0,10,0,"Success",0.010508,0.264512,0.230581,0.328645,0.163563,0.072228,0.05712,0.211694,1.339465,1048584,0,524288,0,0
"Fftw_mkl_gnuwrapper","Outplace","Real","float",1,"powerof2",131072,0,0,11,0,"Success",0.010297,0.256047,0.242814,0.32812,0.195814,0.071503,0.056838,0.197355,1.359447,1048584,0,524288,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"powerof2",131072,0,0,0,0,"Warmup",0.000687,0.193387,0.173745,0.1849,3.072447,3.269228,0.221917,0.48877,7.605734,2097152,0,2097152,5.0727880166e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"powerof2",131072,0,0,1,0,"Warmup",0.000848,0.181291,0.177647,0.195338,3.116296,3.187208,0.222236,0.485957,7.567554,2097152,0,2097152,5.0727880166e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"powerof2",131072,0,0,2,0,"Success",0.000705,0.182657,0.178615,0.194994,3.017573,3.197417,0.217097,0.483366,7.473155,2097152,0,2097152,5.0727880166e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"powerof2",131072,0,0,3,0,"Success",0.000712,0.182569,0.17805,0.195323,3.029745,3.25826,0.213918,0.487702,7.547114,2097152,0,2097152,5.0727880166e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"powerof2",131072,0,0,4,0,"Success",0.000872,0.183398,0.17737,0.195373,3.067756,3.126296,0.23253,0.503787,7.488142,2097152,0,2097152,5.0727880166e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"powerof2",131072,0,0,5,0,"Success",0.001071,0.181995,0.177814,0.193763,3.258453,3.461077,0.217342,0.473807,7.96616,2097152,0,2097152,5.0727880166e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"powerof2",131072,0,0,6,0,"Success",0.000698,0.182829,0.17884,0.194911,3.156773,3.323009,0.21569,0.490921,7.744351,2097152,0,2097152,5.0727880166e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"powerof2",131072,0,0,7,0,"Success",0.000705,0.183182,0.178975,0.194774,3.227159,3.470809,0.224318,0.491041,7.971631,2097152,0,2097152,5.0727880166e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"powerof2",131072,0,0,8,0,"Success",0.000723,0.18244,0.177565,0.194489,3.164146,3.280026,0.216633,0.485964,7.70264,2097152,0,2097152,5.0727880166e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"powerof2",131072,0,0,9,0,"Success",0.000781,0.184252,0.176807,0.194971,3.133663,3.391028,0.216807,0.481525,7.780524,2097152,0,2097152,5.0727880166e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"powerof2",131072,0,0,10,0,"Success",0.000756,0.190468,0.177485,0.194711,3.200196,3.27613,0.202282,0.382577,7.625146,2097152,0,2097152,5.0727880166e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","double",1,"powerof2",131072,0,0,11,0,"Success",0.000568,0.131968,0.119834,0.185476,3.068829,3.439155,0.202025,0.374258,7.522575,2097152,0,2097152,5.0727880166e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",131072,0,0,0,0,"Warmup",0.000601,0.274348,0.265162,0.10014,0.125605,0.120633,0.104482,0.007424,0.998901,1048592,0,1048576,2.7755681495e-17,0
