; "SupportedThreads",64,"UsedThreads",64,"TotalMemory",135065206784,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1536721661,"CurrentTimeLocal","Tue Sep 11 20:07:41 2018","Hostname","nid01115","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 4.6e-05
; "Time_ContextDestroy [ms]", 8e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",361,0,0,11,52,"Success",0.000341,0.023293,0.021481,0.000179,0.006278,0.006222,0.000115,0.001564,0.059729,2888,0,2888,6.5923544683e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,0,53,"Warmup",0.0005,0.050664,0.043812,0.004337,0.178655,0.135183,0.003116,0.007054,0.423647,54872,0,54872,8.1706288978e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,1,53,"Warmup",0.000435,0.046359,0.043318,0.004253,0.131927,0.13227,0.002942,0.006292,0.368066,54872,0,54872,8.1706288978e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,2,53,"Success",0.000403,0.044691,0.04293,0.004246,0.131244,0.132535,0.002912,0.005996,0.365236,54872,0,54872,8.1706288978e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,3,53,"Success",0.000404,0.04439,0.042996,0.00427,0.131376,0.133089,0.002925,0.006168,0.365884,54872,0,54872,8.1706288978e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,4,53,"Success",0.000348,0.044399,0.042723,0.004229,0.130867,0.132691,0.002876,0.005738,0.364122,54872,0,54872,8.1706288978e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,5,53,"Success",0.000355,0.043936,0.04271,0.004226,0.13017,0.132125,0.002942,0.006488,0.363233,54872,0,54872,8.1706288978e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,6,53,"Success",0.000365,0.044319,0.042625,0.004231,0.131398,0.133358,0.002909,0.005852,0.365305,54872,0,54872,8.1706288978e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,7,53,"Success",0.000352,0.04432,0.042412,0.004239,0.13089,0.131578,0.002934,0.006075,0.363047,54872,0,54872,8.1706288978e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,8,53,"Success",0.000354,0.043955,0.042693,0.004248,0.130983,0.131709,0.002912,0.006019,0.363125,54872,0,54872,8.1706288978e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,9,53,"Success",0.000366,0.044188,0.042635,0.004242,0.130257,0.140145,0.002993,0.006613,0.371714,54872,0,54872,8.1706288978e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,10,53,"Success",0.000377,0.044226,0.042675,0.004219,0.131633,0.132964,0.002929,0.006217,0.365487,54872,0,54872,8.1706288978e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,11,53,"Success",0.000354,0.043762,0.042439,0.004208,0.130358,0.132517,0.002903,0.006103,0.362908,54872,0,54872,8.1706288978e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,0,54,"Warmup",0.000491,0.070181,0.062348,0.082958,0.522751,0.474055,0.14399,0.005863,1.363015,1042568,0,1042568,8.0590305031e-08,0
