; "SupportedThreads",64,"UsedThreads",64,"TotalMemory",135065378816,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1544801643,"CurrentTimeLocal","Fri Dec 14 07:34:03 2018","Hostname","nid00762","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 6.4e-05
; "Time_ContextDestroy [ms]", 3.3e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",32767,0,0,0,0,"Warmup",0.000342,0.050695,0.046262,0.027889,0.15571,0.160423,0.02916,0.006353,0.477125,262136,0,262136,1.0910973682e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",32767,0,0,1,0,"Warmup",0.000327,0.050628,0.046198,0.028093,0.156922,0.158578,0.028822,0.006316,0.476166,262136,0,262136,1.0910973682e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",32767,0,0,2,0,"Success",0.000325,0.051093,0.046029,0.027983,0.155464,0.1581,0.028999,0.006647,0.47492,262136,0,262136,1.0910973682e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",32767,0,0,3,0,"Success",0.000331,0.05077,0.045876,0.027872,0.156447,0.159685,0.029219,0.00633,0.476822,262136,0,262136,1.0910973682e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",32767,0,0,4,0,"Success",0.000345,0.050907,0.04594,0.028266,0.155856,0.161109,0.028875,0.006321,0.477894,262136,0,262136,1.0910973682e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",32767,0,0,5,0,"Success",0.000324,0.050628,0.046029,0.028091,0.156559,0.158542,0.028959,0.0062,0.475611,262136,0,262136,1.0910973682e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",32767,0,0,6,0,"Success",0.000347,0.050634,0.046034,0.028218,0.156045,0.158958,0.029314,0.006076,0.475913,262136,0,262136,1.0910973682e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",32767,0,0,7,0,"Success",0.00036,0.050521,0.046135,0.02834,0.155602,0.158684,0.028614,0.006031,0.474555,262136,0,262136,1.0910973682e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",32767,0,0,8,0,"Success",0.000344,0.05069,0.046244,0.02792,0.156295,0.157517,0.034442,0.006582,0.480333,262136,0,262136,1.0910973682e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",32767,0,0,9,0,"Success",0.000314,0.051021,0.046173,0.027723,0.156142,0.158882,0.028935,0.006276,0.475729,262136,0,262136,1.0910973682e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",32767,0,0,10,0,"Success",0.00035,0.050708,0.046188,0.027972,0.156028,0.158794,0.029242,0.006072,0.475651,262136,0,262136,1.0910973682e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",32767,0,0,11,0,"Success",0.000343,0.050362,0.046347,0.027938,0.155725,0.158944,0.028955,0.006108,0.474985,262136,0,262136,1.0910973682e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",65535,0,0,0,1,"Warmup",0.003801,0.067609,0.075987,0.214159,0.836541,0.819779,0.059127,0.007706,2.08504,524280,0,524280,1.2932565318e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",65535,0,0,1,1,"Warmup",0.000471,0.075981,0.068371,0.055586,0.221876,0.227148,0.059078,0.006903,0.715734,524280,0,524280,1.2932565318e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",65535,0,0,2,1,"Success",0.000431,0.073509,0.067358,0.055685,0.223802,0.226983,0.058942,0.006811,0.713843,524280,0,524280,1.2932565318e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",65535,0,0,3,1,"Success",0.000371,0.072643,0.074862,0.055541,0.222235,0.226496,0.058931,0.007106,0.718531,524280,0,524280,1.2932565318e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",65535,0,0,4,1,"Success",0.000383,0.072266,0.065958,0.055874,0.223131,0.22897,0.058605,0.007002,0.712504,524280,0,524280,1.2932565318e-07,0
