; "SupportedThreads",64,"UsedThreads",64,"TotalMemory",135065378816,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1544796229,"CurrentTimeLocal","Fri Dec 14 06:03:49 2018","Hostname","nid00908","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 7.5e-05
; "Time_ContextDestroy [ms]", 3.8e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",32767,0,0,0,0,"Warmup",0.00035,0.050069,0.045943,0.027279,0.145964,0.146096,0.028065,0.006135,0.450235,262136,0,262136,1.0910973682e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",32767,0,0,1,0,"Warmup",0.000322,0.049946,0.046021,0.027003,0.145562,0.146242,0.028434,0.006076,0.449952,262136,0,262136,1.0910973682e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",32767,0,0,2,0,"Success",0.000348,0.049962,0.046064,0.027303,0.146591,0.146737,0.028427,0.006157,0.451909,262136,0,262136,1.0910973682e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",32767,0,0,3,0,"Success",0.000314,0.049913,0.046043,0.027436,0.145888,0.146394,0.02802,0.006057,0.450411,262136,0,262136,1.0910973682e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",32767,0,0,4,0,"Success",0.000343,0.049806,0.046129,0.027059,0.145804,0.146188,0.028412,0.006118,0.45018,262136,0,262136,1.0910973682e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",32767,0,0,5,0,"Success",0.000314,0.049866,0.046031,0.02738,0.146231,0.145277,0.028475,0.006067,0.449988,262136,0,262136,1.0910973682e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",32767,0,0,6,0,"Success",0.000368,0.056453,0.046446,0.027218,0.146089,0.145607,0.028596,0.006092,0.457226,262136,0,262136,1.0910973682e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",32767,0,0,7,0,"Success",0.00031,0.050131,0.046018,0.027262,0.145906,0.146142,0.02853,0.006029,0.450654,262136,0,262136,1.0910973682e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",32767,0,0,8,0,"Success",0.000346,0.049759,0.045996,0.027321,0.146354,0.145922,0.028635,0.006189,0.450844,262136,0,262136,1.0910973682e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",32767,0,0,9,0,"Success",0.000338,0.049986,0.046141,0.027346,0.145489,0.146518,0.028,0.00609,0.450248,262136,0,262136,1.0910973682e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",32767,0,0,10,0,"Success",0.000344,0.049926,0.046036,0.02702,0.144805,0.147882,0.027803,0.006004,0.450166,262136,0,262136,1.0910973682e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",32767,0,0,11,0,"Success",0.000306,0.049704,0.045994,0.027012,0.144811,0.146716,0.028477,0.006235,0.44959,262136,0,262136,1.0910973682e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",65535,0,0,0,1,"Warmup",0.003774,0.081113,0.059956,0.201518,0.841001,0.8285,0.058011,0.00796,2.082203,524280,0,524280,1.2932565318e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",65535,0,0,1,1,"Warmup",0.000423,0.076332,0.067563,0.054728,0.22225,0.228921,0.058097,0.006953,0.71565,524280,0,524280,1.2932565318e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",65535,0,0,2,1,"Success",0.000432,0.073199,0.066757,0.054727,0.223674,0.248471,0.056683,0.00721,0.731549,524280,0,524280,1.2932565318e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",65535,0,0,3,1,"Success",0.000371,0.072839,0.067443,0.053817,0.222063,0.228756,0.058269,0.00706,0.710967,524280,0,524280,1.2932565318e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",65535,0,0,4,1,"Success",0.000381,0.071999,0.066144,0.054867,0.223961,0.227896,0.057996,0.006727,0.710343,524280,0,524280,1.2932565318e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",65535,0,0,5,1,"Success",0.0004,0.071449,0.065907,0.054919,0.224481,0.229014,0.057994,0.006844,0.711395,524280,0,524280,1.2932565318e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",65535,0,0,6,1,"Success",0.000357,0.070829,0.065675,0.05468,0.223084,0.228474,0.058437,0.006778,0.708689,524280,0,524280,1.2932565318e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",65535,0,0,7,1,"Success",0.0003,0.070793,0.065779,0.054843,0.233452,0.227343,0.058032,0.006799,0.717719,524280,0,524280,1.2932565318e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",65535,0,0,8,1,"Success",0.000311,0.071651,0.066863,0.054906,0.223726,0.228678,0.058035,0.006759,0.711284,524280,0,524280,1.2932565318e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",65535,0,0,9,1,"Success",0.000295,0.071078,0.065625,0.054874,0.224381,0.22789,0.058139,0.006942,0.709596,524280,0,524280,1.2932565318e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",65535,0,0,10,1,"Success",0.000318,0.071071,0.066669,0.054742,0.224387,0.227868,0.058083,0.006977,0.710478,524280,0,524280,1.2932565318e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",65535,0,0,11,1,"Success",0.0003,0.071255,0.066794,0.05467,0.223919,0.228589,0.058142,0.006898,0.710905,524280,0,524280,1.2932565318e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",131071,0,0,0,2,"Warmup",0.00354,12.131254,10.788459,0.668566,2.744058,2.820062,0.07816,1.041704,30.276284,1048568,0,1048568,1.4010855829e-07,0
