; "SupportedThreads",272,"UsedThreads",272,"TotalMemory",101215670272,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1536875344,"CurrentTimeLocal","Thu Sep 13 14:49:04 2018","Hostname","nid07929","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.00023
; "Time_ContextDestroy [ms]", 0.00025
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,2,53,"Success",0.03002,607.753062,638.798163,0.01468,2.195448,0.78441,0.02079,4.302184,1253.904097,54872,0,54872,5.7146074527e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,3,53,"Success",0.03046,609.596146,633.321244,0.01477,2.187037,0.686019,0.01349,4.442696,1250.297832,54872,0,54872,5.7146074527e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,4,53,"Success",0.030361,609.109309,644.844649,0.01423,2.313579,0.672359,0.01701,4.304484,1261.311551,54872,0,54872,5.7146074527e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,5,53,"Success",0.03135,599.723662,640.894579,0.01407,2.205818,0.78367,0.0134,4.329544,1248.004813,54872,0,54872,5.7146074527e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,6,53,"Success",0.030681,607.966305,638.171225,0.01368,2.239718,0.679659,0.01336,4.388555,1253.508143,54872,0,54872,5.7146074527e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,7,53,"Success",0.03158,607.009023,632.513334,0.01499,2.212878,0.673509,0.01575,4.407585,1246.884469,54872,0,54872,5.7146074527e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,8,53,"Success",0.03824,611.648232,645.691449,0.014081,2.357859,0.681059,0.01983,4.298684,1264.754504,54872,0,54872,5.7146074527e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,9,53,"Success",0.03136,600.299099,634.710891,0.01424,2.33194,0.685928,0.018961,4.343574,1242.441223,54872,0,54872,5.7146074527e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,10,53,"Success",0.031501,601.823398,638.017833,0.01454,2.38165,0.674768,0.013401,4.318364,1247.280605,54872,0,54872,5.7146074527e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,11,53,"Success",0.03116,601.205871,632.383742,0.01364,2.33864,0.688658,0.013441,4.362434,1241.043086,54872,0,54872,5.7146074527e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,0,54,"Warmup",0.03831,1250.706409,1329.966606,0.166202,62.76946,20.834652,0.235153,15.95125,2680.675772,1042568,0,1042568,6.4662461083e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,1,54,"Warmup",0.03308,1263.631112,1341.878816,0.195632,70.256933,12.411526,0.239113,15.342083,2703.995466,1042568,0,1042568,6.4662461083e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,2,54,"Success",0.03277,1258.065922,1337.599922,0.196122,31.459596,4.634718,0.233503,15.830959,2648.060862,1042568,0,1042568,6.4662461083e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,3,54,"Success",0.03628,1249.786928,1329.797574,0.191923,32.794192,4.640679,0.234063,15.811058,2633.299597,1042568,0,1042568,6.4662461083e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,4,54,"Success",0.033971,1258.832722,1337.261138,0.246643,21.906345,4.594908,0.234073,15.10414,2638.22138,1042568,0,1042568,6.4662461083e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,5,54,"Success",0.03566,1250.146933,1328.117343,0.191992,70.830001,4.217083,0.233553,15.821249,2669.608524,1042568,0,1042568,6.4662461083e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,6,54,"Success",0.03503,1250.320455,1331.380114,0.190643,82.963993,34.781448,0.236943,15.92852,2715.843946,1042568,0,1042568,6.4662461083e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,7,54,"Success",0.033481,1264.360981,1343.323925,0.196712,56.200617,4.157952,0.234533,15.253792,2683.769593,1042568,0,1042568,6.4662461083e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,8,54,"Success",0.033071,1254.465587,1332.6295,0.192533,60.860785,4.202153,0.236933,15.862549,2668.489931,1042568,0,1042568,6.4662461083e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,9,54,"Success",0.033881,1252.659524,1332.954445,0.192682,68.282489,4.152092,0.237163,15.768349,2674.286965,1042568,0,1042568,6.4662461083e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,10,54,"Success",0.03352,1260.890369,1338.331902,0.192152,69.975301,33.687013,0.240573,14.985319,2718.342809,1042568,0,1042568,6.4662461083e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,11,54,"Success",0.03463,1253.8328,1333.042386,0.191392,109.025621,73.108,0.230543,15.545465,2785.017857,1042568,0,1042568,6.4662461083e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,0,55,"Warmup",0.031021,2570.008818,2666.077817,3.273221,74.340965,71.908815,4.548897,18.074637,5408.270731,19808792,0,19808792,9.6167372373e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,1,55,"Warmup",0.032881,2549.605802,2633.202804,3.731847,132.342554,90.731432,4.549557,18.28376,5432.487527,19808792,0,19808792,9.6167372373e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,2,55,"Success",0.03406,2562.8788,2626.927466,3.739896,114.385859,73.056438,4.602828,18.048407,5403.682516,19808792,0,19808792,9.6167372373e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,3,55,"Success",0.032881,2566.303483,2631.20582,3.747237,129.325577,99.732485,4.519316,17.481979,5452.355119,19808792,0,19808792,9.6167372373e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,4,55,"Success",0.032391,2560.990136,2629.476169,3.736857,115.25924,73.758618,4.381665,17.275968,5404.917224,19808792,0,19808792,9.6167372373e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,5,55,"Success",0.03508,2544.588912,2608.956351,3.589455,98.57556,73.720057,4.440716,17.46948,5351.382801,19808792,0,19808792,9.6167372373e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,6,55,"Success",0.033191,2579.177566,2628.858712,3.703977,115.416812,73.470444,4.470276,17.44096,5422.578478,19808792,0,19808792,9.6167372373e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,7,55,"Success",0.03086,2553.99334,2620.013652,3.683986,106.53533,71.969636,4.471326,17.48233,5378.19049,19808792,0,19808792,9.6167372373e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,8,55,"Success",0.0307,2560.183489,2628.386757,3.700106,133.073775,111.670735,4.440935,17.44811,5458.941097,19808792,0,19808792,9.6167372373e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,9,55,"Success",0.036011,2552.071577,2619.361304,3.715247,139.655237,79.915695,4.337535,17.249927,5416.348883,19808792,0,19808792,9.6167372373e-08,0
