; "SupportedThreads",64,"UsedThreads",64,"TotalMemory",135065378816,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1545071100,"CurrentTimeLocal","Mon Dec 17 10:25:00 2018","Hostname","nid01903","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.000124
; "Time_ContextDestroy [ms]", 8.9e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",32768,0,0,0,0,"Warmup",0.005772,0.076883,0.072818,0.115236,0.677138,0.655961,0.028101,0.078798,1.711206,262144,0,262144,2.6587993343e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",32768,0,0,1,0,"Warmup",0.005672,0.07631,0.072638,0.115993,0.678983,0.674362,0.028144,0.084102,1.73667,262144,0,262144,2.6587993343e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",32768,0,0,2,0,"Success",0.005445,0.077408,0.072919,0.116368,0.673553,0.668563,0.028334,0.08299,1.72615,262144,0,262144,2.6587993343e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",32768,0,0,3,0,"Success",0.005354,0.07699,0.073773,0.115938,0.666485,0.656243,0.028122,0.082545,1.705937,262144,0,262144,2.6587993343e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",32768,0,0,4,0,"Success",0.005425,0.077297,0.072758,0.115603,0.670884,0.666178,0.028521,0.088103,1.725336,262144,0,262144,2.6587993343e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",32768,0,0,5,0,"Success",0.005637,0.076703,0.072555,0.115233,0.658809,0.662499,0.028551,0.077389,1.697909,262144,0,262144,2.6587993343e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",32768,0,0,6,0,"Success",0.005738,0.076747,0.073239,0.115816,0.681107,0.677363,0.02806,0.081967,1.740592,262144,0,262144,2.6587993343e-08,0
