; "SupportedThreads",272,"UsedThreads",272,"TotalMemory",101215670272,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1536876047,"CurrentTimeLocal","Thu Sep 13 15:00:47 2018","Hostname","nid07929","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.00028
; "Time_ContextDestroy [ms]", 0.00028
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",361,0,0,11,52,"Success",0.01648,0.445856,0.439446,0.00294,0.03571,0.0343,0.00058,0.548737,1.526309,2888,0,2888,1.1421735147e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,0,53,"Warmup",0.01843,2.498652,2.520162,0.01217,0.435465,0.324774,0.00672,2.628223,8.446676,54872,0,54872,2.0049209788e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,1,53,"Warmup",0.01577,2.600003,2.476671,0.01148,0.353755,0.365274,0.00624,2.577653,8.409136,54872,0,54872,2.0049209788e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,2,53,"Success",0.01508,2.561153,2.607853,0.01099,0.352814,0.322234,0.00603,2.556153,8.434227,54872,0,54872,2.0049209788e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,3,53,"Success",0.01354,2.494742,2.569792,0.01389,0.351855,0.321704,0.00605,2.716194,8.489777,54872,0,54872,2.0049209788e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,4,53,"Success",0.01491,2.525902,2.683514,0.0111,0.351745,0.323964,0.00623,2.583242,8.502537,54872,0,54872,2.0049209788e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,5,53,"Success",0.01461,2.431411,2.573282,0.011,0.352165,0.320484,0.00617,2.658413,8.369445,54872,0,54872,2.0049209788e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,6,53,"Success",0.015061,2.558352,2.500782,0.01164,0.342674,0.318814,0.00603,2.611363,8.366726,54872,0,54872,2.0049209788e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,7,53,"Success",0.01479,2.519862,2.459541,0.0113,0.349145,0.357104,0.00597,2.555543,8.275355,54872,0,54872,2.0049209788e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,8,53,"Success",0.01332,2.519962,2.522012,0.01072,0.379634,0.323375,0.00637,2.584272,8.361705,54872,0,54872,2.0049209788e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,9,53,"Success",0.013761,2.527321,2.500462,0.01128,0.349685,0.319644,0.00598,2.575922,8.306085,54872,0,54872,2.0049209788e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,10,53,"Success",0.01434,2.470831,2.547652,0.01133,0.348805,0.321134,0.00609,2.610803,8.333085,54872,0,54872,2.0049209788e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,11,53,"Success",0.01408,2.461991,2.508101,0.012181,0.349194,0.319364,0.0057,2.590173,8.262754,54872,0,54872,2.0049209788e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,0,54,"Warmup",0.0233,3.013838,3.091749,0.161022,0.971372,0.501547,0.145762,2.543622,10.455782,1042568,0,1042568,1.146319721e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,1,54,"Warmup",0.02379,3.022259,3.017688,0.161742,0.514546,0.488906,0.149532,2.697724,10.079837,1042568,0,1042568,1.146319721e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,2,54,"Success",0.02386,3.037068,3.085009,0.162572,0.515317,0.531567,0.148002,2.850956,10.357961,1042568,0,1042568,1.146319721e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,3,54,"Success",0.023771,3.003468,3.130749,0.161392,0.512506,0.483356,0.148432,2.724055,10.191459,1042568,0,1042568,1.146319721e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,4,54,"Success",0.02371,3.055779,3.13322,0.199302,0.513377,0.482526,0.148992,2.766905,10.327161,1042568,0,1042568,1.146319721e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,5,54,"Success",0.02309,3.061009,3.062039,0.200712,0.512227,0.485696,0.149182,2.697904,10.195339,1042568,0,1042568,1.146319721e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,6,54,"Success",0.02302,3.058649,3.041328,0.199613,0.514297,0.520816,0.147292,2.695244,10.204049,1042568,0,1042568,1.146319721e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,7,54,"Success",0.02329,2.971988,3.013878,0.201002,0.510297,0.479556,0.150332,2.730174,10.084217,1042568,0,1042568,1.146319721e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,8,54,"Success",0.02379,3.068969,3.089669,0.198832,0.512397,0.479816,0.148602,2.816995,10.34318,1042568,0,1042568,1.146319721e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,9,54,"Success",0.02283,3.026498,2.997798,0.200453,0.516706,0.480576,0.149892,2.733715,10.132078,1042568,0,1042568,1.146319721e-07,0
