; "SupportedThreads",64,"UsedThreads",64,"TotalMemory",135065378816,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1544801116,"CurrentTimeLocal","Fri Dec 14 07:25:16 2018","Hostname","nid01132","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 8.1e-05
; "Time_ContextDestroy [ms]", 8.1e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",32767,0,0,0,0,"Warmup",0.00032,0.050482,0.046289,0.027908,0.147242,0.14879,0.028785,0.006321,0.456439,262136,0,262136,1.0910973682e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",32767,0,0,1,0,"Warmup",0.000328,0.05077,0.046191,0.028022,0.147576,0.148135,0.028941,0.006128,0.456418,262136,0,262136,1.0910973682e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",32767,0,0,2,0,"Success",0.00033,0.050847,0.046244,0.027959,0.147414,0.14759,0.028886,0.006418,0.455972,262136,0,262136,1.0910973682e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",32767,0,0,3,0,"Success",0.000312,0.050801,0.046049,0.028039,0.148625,0.147986,0.028813,0.005989,0.456902,262136,0,262136,1.0910973682e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",32767,0,0,4,0,"Success",0.000319,0.050522,0.046295,0.028,0.147637,0.147752,0.028937,0.005982,0.455753,262136,0,262136,1.0910973682e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",32767,0,0,5,0,"Success",0.000321,0.050562,0.045773,0.027934,0.147306,0.148254,0.028871,0.005997,0.455304,262136,0,262136,1.0910973682e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",32767,0,0,6,0,"Success",0.000341,0.050504,0.046146,0.02777,0.147163,0.148273,0.028903,0.006167,0.455564,262136,0,262136,1.0910973682e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",32767,0,0,7,0,"Success",0.000324,0.050515,0.046258,0.027979,0.146966,0.147596,0.028886,0.005922,0.45475,262136,0,262136,1.0910973682e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",32767,0,0,8,0,"Success",0.000327,0.050755,0.045988,0.027922,0.147557,0.148402,0.028901,0.006073,0.456227,262136,0,262136,1.0910973682e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",32767,0,0,9,0,"Success",0.000298,0.056605,0.046095,0.02796,0.146979,0.148081,0.028767,0.006434,0.461548,262136,0,262136,1.0910973682e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",32767,0,0,10,0,"Success",0.000286,0.050483,0.046072,0.02791,0.147323,0.147679,0.028889,0.006115,0.455048,262136,0,262136,1.0910973682e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",32767,0,0,11,0,"Success",0.000291,0.050364,0.045725,0.027961,0.147354,0.147659,0.028354,0.006175,0.454197,262136,0,262136,1.0910973682e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",65535,0,0,0,1,"Warmup",0.003951,0.069389,0.057406,0.202744,0.819786,0.76747,0.058035,0.008315,1.987466,524280,0,524280,1.2932565318e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",65535,0,0,1,1,"Warmup",0.000377,0.07583,0.066855,0.054722,0.221346,0.226554,0.058141,0.007064,0.711213,524280,0,524280,1.2932565318e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",65535,0,0,2,1,"Success",0.000338,0.07287,0.066668,0.054693,0.241361,0.226644,0.05806,0.007546,0.728529,524280,0,524280,1.2932565318e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",65535,0,0,3,1,"Success",0.000423,0.07382,0.066924,0.054749,0.221567,0.226526,0.058197,0.006798,0.709336,524280,0,524280,1.2932565318e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",65535,0,0,4,1,"Success",0.000269,0.071887,0.065958,0.054948,0.222082,0.227537,0.058034,0.006894,0.707963,524280,0,524280,1.2932565318e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",65535,0,0,5,1,"Success",0.000298,0.071175,0.065416,0.054792,0.222177,0.226185,0.058101,0.006698,0.705194,524280,0,524280,1.2932565318e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",65535,0,0,6,1,"Success",0.000275,0.071123,0.065798,0.054736,0.222374,0.227466,0.057963,0.006742,0.706796,524280,0,524280,1.2932565318e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",65535,0,0,7,1,"Success",0.000267,0.070942,0.074437,0.05468,0.222437,0.225449,0.058173,0.006847,0.713603,524280,0,524280,1.2932565318e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",65535,0,0,8,1,"Success",0.000248,0.071316,0.065692,0.054545,0.222732,0.226524,0.058053,0.00653,0.706027,524280,0,524280,1.2932565318e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",65535,0,0,9,1,"Success",0.000319,0.070851,0.065606,0.054672,0.222393,0.226749,0.05825,0.006518,0.705689,524280,0,524280,1.2932565318e-07,0
