; "SupportedThreads",64,"UsedThreads",64,"TotalMemory",135065378816,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1537608790,"CurrentTimeLocal","Sat Sep 22 02:33:10 2018","Hostname","nid01287","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 7.3e-05
; "Time_ContextDestroy [ms]", 8.6e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,11,1,"Success",0.000158,0.001633,0.000673,5.9e-05,7.8e-05,7.5e-05,1.5e-05,0.000972,0.003862,64,0,64,5.6321095379e-09,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,0,2,"Warmup",0.000356,0.002715,0.000805,0.000105,0.003467,0.000212,4.2e-05,0.001213,0.009157,128,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,1,2,"Warmup",0.000275,0.001871,0.000708,8.6e-05,0.000139,7.8e-05,1.7e-05,0.00093,0.004287,128,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,2,2,"Success",0.000202,0.001802,0.000681,7.3e-05,0.000113,7.1e-05,1.6e-05,0.00093,0.00408,128,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,3,2,"Success",0.0002,0.001752,0.000705,7.1e-05,0.000114,7.1e-05,1.7e-05,0.000929,0.004061,128,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,4,2,"Success",0.000201,0.001776,0.000681,7.2e-05,0.000101,6.9e-05,2.8e-05,0.000944,0.004054,128,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,5,2,"Success",0.000194,0.001711,0.000717,7e-05,0.000115,5.8e-05,1.8e-05,0.000932,0.004006,128,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,6,2,"Success",0.0002,0.00176,0.000692,7.4e-05,0.000104,6.9e-05,2.8e-05,0.000926,0.004009,128,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,7,2,"Success",0.000186,0.001719,0.000683,7.2e-05,9e-05,5.8e-05,1.6e-05,0.000927,0.003953,128,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,8,2,"Success",0.00021,0.001756,0.000703,7.2e-05,0.000102,4.5e-05,2.9e-05,0.000943,0.004071,128,0,128,0,0
