; "SupportedThreads",64,"UsedThreads",64,"TotalMemory",135065362432,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1546523928,"CurrentTimeLocal","Thu Jan  3 05:58:48 2019","Hostname","nid01430","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 7.6e-05
; "Time_ContextDestroy [ms]", 4e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",268435456,0,0,0,0,"Warmup",0.007388,333.140226,332.326714,1561.185406,754.295528,7173.927256,245.770192,439.186464,10839.841595,2147483664,0,2147483648,2.7755575667e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",268435456,0,0,1,0,"Warmup",0.006774,333.105875,332.701538,1558.71395,755.305854,7163.845593,244.973382,437.153272,10825.808992,2147483664,0,2147483648,2.7755575667e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",268435456,0,0,2,0,"Success",0.007494,333.320034,332.513806,1576.068377,753.850389,7225.208342,244.912013,436.033539,10901.916252,2147483664,0,2147483648,2.7755575667e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",268435456,0,0,3,0,"Success",0.006901,364.208269,333.050482,1557.633575,754.837036,7271.33073,244.762112,436.444478,10962.275661,2147483664,0,2147483648,2.7755575667e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",268435456,0,0,4,0,"Success",0.006795,333.15188,332.638625,1557.953919,754.782167,7201.545651,244.948381,435.234291,10860.264092,2147483664,0,2147483648,2.7755575667e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",268435456,0,0,5,0,"Success",0.00731,333.208514,332.835807,1560.413553,754.551256,7636.224974,246.047279,439.829309,11303.120108,2147483664,0,2147483648,2.7755575667e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",268435456,0,0,6,0,"Success",0.00727,333.051076,332.926777,1565.001078,754.764705,7181.171553,246.328463,440.229399,10853.483183,2147483664,0,2147483648,2.7755575667e-17,0
